Age,C1,C2.5,C5,C10,C25,C50,C75,C90,C95,C97.5,C99
Neonate,49,67,83,100,123,140,156,172,183,192,203
1 month,55,75,91,108,130,146,161,177,186,195,205
2 months,49,69,85,102,124,142,158,174,185,194,205
3 months,68,84,97,109,127,142,156,171,181,191,202
4 months,74,88,98,109,126,140,155,171,182,193,205
5 months,76,88,98,109,124,139,153,169,181,191,205
6 months,78,89,98,108,123,137,152,168,180,191,205
7 months,79,90,98,108,122,136,151,168,180,191,205
8 months,80,89,97,107,121,136,151,168,179,191,205
9 months,79,89,97,106,120,135,150,168,180,191,206
10 months,78,88,96,105,119,135,151,168,181,192,206
11 months,77,87,95,104,119,135,151,169,182,193,208
1 year,75,84,92,102,117,135,153,171,182,193,205
2 years,72,80,87,95,109,125,142,159,170,180,193
3 years,68,76,83,91,104,118,134,149,160,170,182
4 years,66,73,80,87,100,113,128,144,154,164,176
5 years,64,71,77,84,96,110,124,140,150,160,172
6 years,63,69,75,82,93,106,121,136,146,155,167
7 years,62,68,74,80,91,104,118,132,142,152,163
8 years,61,67,73,79,90,102,116,130,140,149,161
9 years,61,67,72,78,89,101,114,129,138,147,159
10 years,60,66,71,77,87,99,113,127,137,146,158
11 years,59,65,69,75,86,98,111,126,136,145,156
12 years,58,64,68,74,84,96,110,125,135,144,156
13 years,57,62,67,72,83,95,109,124,134,144,156
14 years,56,61,66,71,81,94,109,124,134,144,156
15 years,55,60,65,70,81,94,109,124,134,144,156
16 years,55,60,64,70,80,94,109,124,134,144,155
17 years,55,60,64,70,81,94,109,124,134,143,154
