Age,C1,C2.5,C5,C10,C25,C50,C75,C90,C95,C97.5,C99
Neonate,43,46,50,55,67,85,110,138,157,176,200
1 month,54,58,63,69,80,95,113,135,152,169,192
2 months,55,60,66,72,85,100,119,142,160,179,206
3 months,57,63,68,74,85,97,112,130,143,157,176
4 months,60,65,70,76,86,97,110,126,137,149,165
5 months,61,67,72,78,88,98,111,126,137,148,163
6 months,62,68,73,79,89,99,112,126,137,148,162
7 months,63,68,73,79,89,100,113,127,138,148,162
8 months,63,69,74,80,90,101,113,128,138,148,162
9 months,64,69,74,80,91,102,114,128,139,149,162
10 months,64,70,75,81,91,102,115,129,139,149,163
11 months,65,70,75,81,92,103,115,130,140,150,163
1 year,68,73,78,84,94,106,118,133,143,152,165
2 years,71,76,81,87,96,106,118,131,141,150,162
3 years,74,79,83,88,97,107,117,130,138,147,158
4 years,75,80,85,90,99,108,118,129,138,146,157
5 years,77,82,87,92,100,109,119,130,138,146,157
6 years,79,84,88,93,102,111,120,131,139,146,156
7 years,80,85,90,95,103,112,121,132,139,147,156
8 years,82,87,91,96,105,113,123,133,140,147,156
9 years,83,88,93,98,106,115,124,135,142,148,157
10 years,84,89,94,99,108,117,126,137,144,150,159
11 years,85,91,95,101,109,119,128,139,146,153,161
12 years,86,92,97,102,111,121,131,141,148,155,163
13 years,87,93,98,103,113,122,133,143,151,157,166
14 years,88,94,99,104,114,124,134,146,153,160,168
15 years,88,94,99,105,115,125,136,148,155,162,171
16 years,88,94,100,106,116,127,138,149,157,164,173
17 years,88,95,100,107,117,128,139,151,159,166,175
